id,fips5,totalpop,countbelow200pct,State,Housingperpov200,Businessperemp,ImpactFinanceperpov200,CommDevOtherperpov200,z_Housing,z_ImpactFinance,z_CommDevOther,z_Business,z_GlobalCapacity,popsize_bin,Housing_ptile,Housing_rank,Business_ptile,Business_rank,ImpactFinance_ptile,ImpactFinance_rank,CommDevOther_ptile,CommDevOther_rank,GlobalCapacity_ptile,GlobalCapacity_rank,CoreLogic_200pov,CountyName
1,1001,55221,18614,AL,578.5618286,7606.94043,1.628344297,28.20457649,4.931053162,-0.385032594,-0.33650589,-0.584002078,0.90637815,2,99,3,42,115,10,179,49,102,97,7,1.628344297,Autauga
2,1003,195121,64041,AL,59.03158569,13903.58496,980.2583618,6.011773586,-0.151744142,0.707232773,-0.619157434,1.554367065,0.372674555,3,51,153,93,24,93,22,19,254,84,51,25360.88086,Baldwin
3,1007,22604,9252,AL,218.506546,NA,0.540423691,101.9700851,1.408470869,-0.38624683,0.602984905,NA,NA,1,96,18,NA,NA,34,263,84,64,NA,NA,1677.571533,Bibb
4,1009,57710,22198,AL,0,5325.310547,0,10.34270859,-0.729276597,-0.386850029,-0.563997865,-1.358853936,-0.759744585,2,1,172,17,165,1,192.5,33,133,4,191,NA,Blount
5,1015,116648,49165,AL,40.61288071,7100.811035,46.85243607,59.37506104,-0.331942588,-0.334557235,0.060486991,-0.755885959,-0.340474695,3,40,188,21,247,27,228,73,84,19,254,0.254245907,Calhoun
6,1021,43819,18329,AL,0,NA,0,0,-0.729276597,-0.386850029,-0.695724487,NA,NA,1,1,274,NA,NA,1,333.5,1,285.5,NA,NA,778.0865479,Chilton
7,1033,54444,21434,AL,0,10962.84863,115.0508575,91.19068146,-0.729276597,-0.258439839,0.465696454,0.555679619,0.008414909,2,1,172,79,42,60,80,85,31,69,63,4732.168457,Colbert
8,1051,80763,22838,AL,0,7255.323242,4.59760046,34.24811554,-0.729276597,-0.381718576,-0.259534299,-0.70341289,-0.518485606,2,1,172,36,128,16,167,54,92,17,166,3603.307129,Elmore
9,1055,103766,44448,AL,0,4882.708496,5.062095165,80.1727829,-0.729276597,-0.381200135,0.32537052,-1.509163618,-0.57356745,3,1,291,6,293,6,292,84,50,5,296,5.062095165,Etowah
10,1061,26815,12388,AL,0,NA,28.67694473,61.10474014,-0.729276597,-0.354843199,0.082516499,NA,NA,1,1,274,NA,NA,56,177,76,98,NA,NA,3125.508301,Geneva
11,1065,15256,7685,AL,65.71298981,NA,142.9108582,43.78647614,-0.086376972,-0.227344826,-0.138052031,NA,NA,1,81,76,NA,NA,76,96,72,114,NA,NA,142.9108582,Hale
12,1067,17252,6707,AL,0,NA,0,74.79680634,-0.729276597,-0.386850029,0.256901115,NA,NA,1,1,274,NA,NA,1,333.5,80,80,NA,NA,NA,Henry
13,1069,103534,41833,AL,189.298233,11193.69141,210.1147614,43.11126328,1.122712851,-0.152337417,-0.146651655,0.634074867,0.36444965,3,91,29,74,82,62,120,61,121,84,52,4930.726074,Houston
14,1073,659026,242691,AL,76.83319092,14675.3252,121.9146957,78.96024323,0.022416944,-0.250778973,0.309927404,1.816453576,0.474504739,5,36,88,99,2,14,118,61,54,69,42,11421.05273,Jefferson
15,1077,92737,34768,AL,22.89657211,9820.789063,2.489412069,84.162323,-0.50526917,-0.384071559,0.37618202,0.167830974,-0.086331934,2,44,112,70,60,14,172,82,37,63,75,2.489412069,Lauderdale
16,1079,33586,14047,AL,25.404356,NA,0,0,-0.480734408,-0.386850029,-0.695724487,NA,NA,1,70,121,NA,NA,1,333.5,1,285.5,NA,NA,NA,Lawrence
17,1081,150982,60350,AL,36.6252861,9174.983398,166.0956421,4.872499466,-0.37095502,-0.201467887,-0.633667409,-0.051487565,-0.314394474,3,38,193,49,161,56,137,15,265,21,247,0.395559251,Lee
18,1083,88805,28897,AL,3.634875536,11174.61328,0.920926034,16.80105209,-0.693714976,-0.385822147,-0.481743246,0.627595842,-0.233421132,2,29,142,82,37,9,182,39,121,48,104,2614.305176,Limestone
19,1085,10742,5763,AL,0,NA,3.470414639,0,-0.729276597,-0.382976621,-0.695724487,NA,NA,1,1,274,NA,NA,39,242,1,285.5,NA,NA,3.470414639,Lowndes
20,1089,346438,101547,AL,33.80518723,13223.92383,238.3547363,22.67672729,-0.398545325,-0.120818309,-0.406909585,1.323551059,0.099319458,4,22,101,90,13,47,68,10,116,52,62,18081.21289,Madison
21,1097,414251,165743,AL,111.906456,19577.07227,398.7067871,73.93759155,0.365554422,0.058153298,0.245958,3.481109142,1.037693739,4,65,45,100,1,67,43,68,41,96,6,14261.80859,Mobile
22,1101,228138,93574,AL,54.09873962,15881.6543,257.4995422,59.09780121,-0.200004384,-0.099450469,0.056955762,2.22612834,0.495907307,3,48,162,98,9,69,97,73,85,90,33,12576.00488,Montgomery
23,1103,119786,44013,AL,49.07109451,12448.41895,0,35.44007874,-0.249192089,-0.386850029,-0.24435325,1.060186028,0.044947665,3,45,173,87,43,1,310,52,151,61,121,12918.84668,Morgan
24,1107,19856,10004,AL,25.77714348,NA,5371.351563,0,-0.477087259,5.608205318,-0.695724487,NA,NA,1,70,120,NA,NA,99,4,1,285.5,NA,NA,0.499800086,Pickens
25,1113,58302,25953,AL,32.47793961,11772.95703,0.192655951,0,-0.411530375,-0.386635005,-0.695724487,0.830796123,-0.165773436,2,53,94,86,28,7,186,1,173,56,88,0.192655951,Russell
26,1115,85864,30013,AL,0,8545.454102,106.485321,31.05321121,-0.729276597,-0.267999977,-0.300225168,-0.265278578,-0.390695095,2,1,172,52,97,58,84,52,96,29,142,5110.545898,St Clair
27,1117,203530,43970,AL,51.98908234,15439.77051,297.8965759,16.22398567,-0.220644116,-0.054362666,-0.489092857,2.076062679,0.32799077,3,47,165,97,12,72,88,31,217,82,58,36111.49219,Shelby
28,1125,200458,73483,AL,171.5497742,13068.10645,219.7636414,14.23997974,0.949071765,-0.141568139,-0.514361501,1.27063477,0.390944213,3,88,38,90,34,63,115,29,223,85,47,4403.842773,Tuscaloosa
29,1127,65923,30568,AL,143.4579315,12687.89648,299.0989685,8.281471252,0.674236655,-0.053020656,-0.590250134,1.141513705,0.293119907,2,84,32,91,18,77,47,32,136,85,31,1724.093262,Walker
30,2020,299107,64977,AK,159.0649719,10680.91406,1416.977783,27.07355881,0.826927364,1.194662571,-0.350910753,0.459933341,0.532653153,4,83,23,64,47,97,4,15,110,87,17,63827.40625,Anchorage
31,2090,99705,21990,AK,81.48413086,9970.233398,549.000061,4.684538364,0.067919172,0.225898132,-0.636061311,0.218582958,-0.030915262,2,70,60,72,56,87,26,29,141,66,68,35960.62891,Fairbanks North Star
32,2170,96178,23586,AK,44.69974899,10636.25488,514.9353638,36.03832626,-0.291958928,0.187877953,-0.236733854,0.444766879,0.025988013,2,57,86,77,47,87,27,55,91,71,59,26407.52539,Matanuska Susitna
33,4003,129647,47527,AZ,142.701767,5091.887695,59.65819931,70.69506836,0.666838765,-0.320264518,0.204660639,-1.438125491,-0.221722648,3,81,60,8,287,31,214,81,62,33,208,11067.52637,Cochise
34,4005,136701,53258,AZ,146.6757507,6410.781738,18.1118679,22.43722153,0.70571804,-0.366635054,-0.409959972,-0.99022305,-0.265275002,3,82,56,14,268,12,275,39,192,28,224,21038.19727,Coconino
35,4013,4018143,1428653,AZ,60.23942947,11021.8457,225.9265289,59.87477112,-0.139927268,-0.134689644,0.066851392,0.575715244,0.091987431,5,26,102,71,40,27,100,44,77,32,92,22726.39648,Maricopa
36,4015,203362,88491,AZ,18.89870262,3676.206787,6.975624561,12.79391098,-0.544382155,-0.379064411,-0.532778919,-1.918897152,-0.843780637,3,25,233,1,308,7,289,27,229,1,310,13411.99023,Mohave
37,4019,998537,390316,AZ,71.30057526,8140.855957,107.9041901,52.29145813,-0.031711116,-0.266416341,-0.029731048,-0.402681947,-0.182635114,5,32,93,26,101,7,127,34,90,15,116,14986.56348,Pima
38,4021,389772,145020,AZ,29.65672302,5426.067383,305.7641907,15.94798756,-0.439131588,-0.04558149,-0.492608011,-1.324636459,-0.575489402,4,18,106,4,123,57,56,3,125,3,125,16460.90625,Pinal
39,4025,215996,80217,AZ,79.40048981,6752.132813,24.22465324,61.93447876,0.047533982,-0.359812468,0.093084194,-0.874298632,-0.273373246,3,61,121,16,261,16,262,75,80,26,231,16953.25781,Yavapai
40,4027,202987,98020,AZ,21.32237244,3351.88501,102.0926666,35.85774994,-0.520670295,-0.272902697,-0.239033714,-2.029038191,-0.765411198,3,29,223,1,309,45,173,52,149,1,307,9968.570313,Yuma
41,5007,238198,78608,AR,23.16591263,16075.55859,192.7799835,65.2979126,-0.502634108,-0.171685055,0.135921493,2.291979074,0.438395351,3,30,218,98,7,60,126,78,69,87,41,45450.12891,Benton
42,5025,8510,3145,AR,0,NA,0,208.8842926,-0.729276597,-0.386850029,1.964663506,NA,NA,1,1,274,NA,NA,1,333.5,94,26,NA,NA,NA,Cleveland
43,5031,101409,42504,AR,106.2784195,11277.41309,3315.479492,79.82335663,0.310492814,3.313612223,0.320920169,0.662507117,1.151883125,3,71,93,75,79,99,5,84,51,97,10,37881.97266,Craighead
44,5033,61748,26489,AR,115.6182938,7620.920898,20.29804802,65.71070862,0.401868999,-0.364195019,0.141178936,-0.57925427,-0.100100338,2,79,43,43,114,28,144,74,52,62,77,31646.00977,Crawford
